Comment,Designator,Footprint,LCSC Part #
1K 1%,R7,0402,C11702
1K 1%,R8 R9,_0603X4-1206,C110021
1K 1%,R10 R11,0402,C11702
1K 1%,R14 R15,_0603X4-1206,C110021
10K 1%,R4 R16 R17 R18 R19,0402,C25744
33K 1%,R5 R6 R12 R13,0402,C25779
100nF 25V,C5 C6 C7 C8 C9 C10 C11 C12,0402,C56392
AFC11-S20ICC-00 ,CON2,FPC20,C11073
BLUE,LED2,LED3MM,C86881
DNI,3V3 5V BL,TP-ROUND,
DNI,C1 C2 C3 C4,C0402,
DNI,CON1,FPC40_3.5TFT,
DNI,CS,TP-ROUND,
DNI,DSP,1X4,
DNI,GND,TP-ROUND,
DNI,H1,3 2-PAD,
DNI,H2,3 2-PAD,
DNI,H3,3 2-PAD,
DNI,MISO MOSI,TP-ROUND,
DNI,R1 R2 R3,0402,
DNI,SCK SCL0 SDA0,TP-ROUND,
DNI,T1,SOT23,
DNI,U$1 U$5,DMT,
DNI,U$8,CE-4MM,
DNI,U$9,ROHS_LOGO_0.18_IN,
DNI,U$10,NO_PB_LOGO_0.120,
GREEN,LED1,LED3MM,C414645
Green,CH1 CH2 CH3 CH4 CH5 CH6 CH7 CH8,LED-0805,C2297
MCP23017T-E/ML ,IC1 IC2,QFN28[6X6]ML,C629439
Orange,SEL1 SEL2 SEL3 SEL4 SEL5 SEL6 SEL7 SEL8,LED-0805,C434437
PTVS3V3S1UR 115 ,D1,SOD-123,C183521
PTVS3V3S1UR 115 ,D2,SOD-123,C183521
PTVS3V3S1UR 115 ,D3,SOD-123,C183521
PTVS3V3S1UR 115 ,D4,SOD-123,C183521
RCLAMP0582BQTCT,D5,SC75,C841193
RED,LED3,LED3MM,C330752
TS-1002S-04326C ,< > O PWR,PUSHBUTTON-6X6,C455108
