Designator,Mid X,Mid Y,Layer,Rotation
C1,53.75,23.07,Top,90
C2,55,32.25,Top,0
C3,54.35,35.8,Top,0
C4,54.35,34.65,Top,0
C5,75.26,40.44,Top,45
C6,74.42,41.37,Top,45
C7,93.14,49.44,Top,90
C8,93.06,19.46,Top,90
C9,93,34.44,Top,90
CON1,27,28,Top,0
IC1,68.29,41.65,Top,135
LED1,113.99,17.88,Top,90
LED2,113.99,27.88,Top,90
LED3,113.99,46.88,Top,90
LED4,8.65,50.68,Top,90
LED5,18.81,50.7,Top,90
LED6,28.93,50.7,Top,90
LED7,39.05,50.7,Top,90
LED8,49.17,50.7,Top,90
LED9,59.29,50.7,Top,90
LED10,69.41,50.7,Top,90
LED11,79.53,50.7,Top,90
R1,54.35,20.85,Top,180
R2,54.35,19.7,Top,180
R3,54.35,18.55,Top,180
R4,56.6,25,Top,180
R5,93.1,45.86,Top,90
R6,93.1,15.84,Top,90
R7,73.44,38.34,Top,0
R8,60.46,44.65,Top,90
R9,60.46,39.59,Top,90
R10,73.4,36.96,Top,0
R11,73.42,35.55,Top,0
R12,92.99,30.86,Top,90
S1,98.94,47.79,Top,180
S2,98.96,17.81,Top,180
S3,98.96,32.81,Top,180
T1,56.55,22.25,Top,180
CON2,82,24.8,Bottom,90
TP1,75.26,18.88,Bottom,0
TP2,70.74,18.85,Bottom,180
TP3,42.7,21.25,Bottom,180
TP4,42.8,37.5,Bottom,180
TP5,42.8,40.98,Bottom,180
TP6,42.8,33.9,Bottom,180
TP7,42.8,27.43,Bottom,180
TP8,42.8,30.66,Bottom,180
TP9,98.92,35.7,Bottom,180
TP10,98.92,32.33,Bottom,180
TP11,98.92,28.96,Bottom,180
TP12,85.79,49.61,Bottom,180
TP13,42.71,24.3,Bottom,180
TP14,85.79,46.39,Bottom,180
TP15,85.79,42.77,Bottom,180
TP16,70.74,15.35,Bottom,180
